Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
19635587,Dept. of Speculation,Jenny Offill,"Offill, Jenny",,"=""""","=""""",4,3.75,Knopf,Kindle Edition,192,2014,2014,2020/04/21,2020/04/21,fiction,fiction (#12),read,,,,1,,,0,,,,,
43289181,Cantoras,Carolina De Robertis,"Robertis, Carolina De",,"=""0525521690""","=""9780525521693""",0,4.40,Knopf Publishing Group,Hardcover,336,2019,2019,,2020/04/21,to-read,to-read (#72),to-read,,,,0,,,0,,,,,
906,"Game of Shadows: Barry Bonds, BALCO, and the Steroids Scandal that Rocked Professional Sports",Mark Fainaru-Wada,"Fainaru-Wada, Mark",Lance Williams,"=""1592401996""","=""9781592401994""",4,3.81,Gotham,Hardcover,352,2006,2006,2016/08/21,2015/05/23,"non-fiction, sports, bay-area, baseball","non-fiction (#29), sports (#6), bay-area (#1), baseball (#4)",read,,,,1,,,1,,,unspecified,,
37766354,Astroball: The New Way to Win It All,Ben Reiter,"Reiter, Ben",,"=""""","=""""",4,4.27,Crown Archetype,Kindle Edition,272,2018,,2018/12/05,2018/12/05,"non-fiction, sports, baseball","non-fiction (#51), sports (#11), baseball (#3)",read,,,,1,,,0,,,,,
21412175,The Best Team Money Can Buy,Molly Knight,"Knight, Molly",,"=""1476776296""","=""9781476776293""",2,3.98,Simon  Schuster,Hardcover,336,2015,2015,2015/07/23,2015/07/14,"non-fiction, los-angeles, sports, baseball","non-fiction (#32), los-angeles (#2), sports (#8), baseball (#2)",read,,,,1,,,0,,,,,
9359172,The Extra 2%: How Wall Street Strategies Took a Major League Baseball Team from Worst to First,Jonah Keri,"Keri, Jonah",,"=""0345517652""","=""9780345517654""",1,3.78,ESPN,Hardcover,272,2011,2011,2014/12/01,2014/11/11,"non-fiction, sports, baseball","non-fiction (#26), sports (#5), baseball (#1)",read,,,,1,,,1,,,unspecified,,
40203647,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",Lori Gottlieb,"Gottlieb, Lori",,"=""""","=""""",5,4.38,Houghton Mifflin Harcourt,Kindle Edition,413,2019,2019,2020/04/12,2020/03/20,"non-fiction, biographical","non-fiction (#18), biographical (#9)",read,,,,1,,,0,,,,,
12262741,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,"Strayed, Cheryl",,"=""0307592731""","=""9780307592736""",5,4.00,Knopf,Hardcover,315,2012,2012,,2018/12/21,"non-fiction, biographical","non-fiction (#54), biographical (#6)",read,,,,1,,,0,,,,,
38331257,Things That Make White People Uncomfortable,Michael Bennett,"Bennett, Michael",Dave Zirin,"=""""","=""""",4,4.20,Haymarket Books,Kindle Edition,268,2018,2018,2018/11/28,2018/11/28,"non-fiction, biographical","non-fiction (#49), biographical (#5)",read,,,,1,,,0,,,,,
11569862,"Kasher in the Rye: The True Tale of a White Boy from Oakland Who Became a Drug Addict, Criminal, Mental Patient, and Then Turned 16",Moshe Kasher,"Kasher, Moshe",,"=""0446584266""","=""9780446584265""",5,3.91,Grand Central Publishing,Hardcover,303,2012,2012,2016/02/29,2016/02/29,"non-fiction, bay-area, biographical","non-fiction (#36), bay-area (#2), biographical (#4)",read,,,,1,,,0,,,,,
