bookid,title,author,myrating,avgrating,dateread,shelves,ratings,elo
22318476,"Boom Town: The Fantastical Saga of Oklahoma City, Its Chaotic Founding, Its Apocalyptic Weather, Its Purloined Basketball Team, and the Dream of Becoming a World-class Metropolis",Sam Anderson,5,4.38,2018-12-19,"non-fiction, sports, basketball, american-history",18,1401.8172793067565
11569862,"Kasher in the Rye: The True Tale of a White Boy from Oakland Who Became a Drug Addict, Criminal, Mental Patient, and Then Turned 16",Moshe Kasher,5,3.91,2016-02-29,"non-fiction, bay-area, biographical",7,1385.111525088839
39783597,"Soccernomics: Why England Loses; Why Germany, Spain, and France Win; and Why One Day Japan, Iraq, and the United States Will Become Kings of the World's Most Popular Sport","Simon Kuper, Stefan Szymanski",4,3.93,2020-03-19,"non-fiction, sports, soccer",3,1379.6543355695117
6564436,Fever Pitch,Nick Hornby,4,3.74,2019-05-20,"non-fiction, sports, soccer, biographical",8,1367.58667206462
35131737,The Skies Belong to Us: Love and Terror in the Golden Age of Hijacking,Brendan I. Koerner,5,4.01,2018-12-01,"non-fiction, american-history",4,1350.3729858326103
12262741,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,5,4,2018-01-31,"non-fiction, biographical",4,1347.929234342545
96123,All the President's Men,"Carl Bernstein, Bob Woodward",4,4.19,2018-10-01,"non-fiction, american-history",3,1346.875127410023
15798986,Whitey: The Life of America's Most Notorious Mob Boss,"Gerard O'Neill, Dick Lehr",3,3.76,2015-10-26,"non-fiction, american-history, biographical",8,1342.29455684231
280411,Too Close to Call: The Thirty-Six-Day Battle to Decide the 2000 Election,Jeffrey Toobin,5,3.95,2018-10-15,"non-fiction, american-history",9,1342.13750230283
40225612,"The Club: How the English Premier League Became the Wildest, Richest, Most Disruptive Force in Sports","Joshua Robinson, Jonathan Clegg",4,4.33,2018-12-24,"non-fiction, sports, soccer",3,1340.22559237648
16171221,The Sports Gene: Inside the Science of Extraordinary Athletic Performance,David Epstein,5,4.19,2013-09-11,"non-fiction, sports",8,1335.1380154699073
45029227,Football Hackers: The Science and Art of a Data Revolution,Christoph Biermann,3,4.33,2019-10-24,"non-fiction, sports, soccer",7,1333.1655629904665
36373561,Red Card: How the U.S. Blew the Whistle on the World's Biggest Sports Scandal,Ken Bensinger,5,4.13,2018-05-31,"non-fiction, sports, soccer",10,1329.1228328682048
53011908,"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators",Ronan Farrow,5,4.51,2019-10-29,non-fiction,3,1316.4767549765045
50929727,The Hot Hand: The Mystery and Science of Streaks,Ben Cohen,4,3.89,2020-04-08,"non-fiction, sports, basketball",7,1315.7499035571288
28007903,"American Heiress: The Wild Saga of the Kidnapping, Crimes and Trial of Patty Hearst",Jeffrey Toobin,5,3.88,2017-04-17,"non-fiction, american-history",6,1315.7149106988088
42035620,Good to Go: What the Athlete in All of Us Can Learn from the Strange Science of Recovery,Christie Aschwanden,4,4.11,2020-03-23,"non-fiction, sports",5,1313.0045703919013
40203647,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",Lori Gottlieb,5,4.38,2020-04-12,"non-fiction, biographical",3,1311.2125818164573
22749723,Who Gets What — and Why: The New Economics of Matchmaking and Market Design,Alvin E. Roth,2,3.86,2019-07-30,non-fiction,2,1306.8707392204556
24399756,Ghettoside: A True Story of Murder in America,Jill Leovy,5,4.1,2015-03-27,"non-fiction, los-angeles",4,1305.781024265708
41161346,"LeBron, Inc.: The Making of a Billion-Dollar Athlete",Brian Windhorst,4,3.81,2019-04-15,"non-fiction, sports, basketball",8,1302.9302382093892
22926604,Year of the Dunk: A Modest Defiance of Gravity,Asher Price,5,3.75,2015-05-23,"non-fiction, sports, basketball, biographical",9,1301.9397213253385
7748,Fear and Loathing on the Campaign Trail '72,Hunter S. Thompson,5,4.12,2013-08-01,"non-fiction, american-history",11,1299.1183529064408
38331257,Things That Make White People Uncomfortable,"Michael Bennett, Dave Zirin",4,4.2,2018-11-28,"non-fiction, biographical",9,1298.9233911722222
280412,The Run of His Life : The People v. O.J. Simpson,Jeffrey Toobin,5,4.22,2016-04-12,"non-fiction, los-angeles, american-history",9,1295.4225123710137
